id,label
1,2
2,2
3,1
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,2
38,2
39,1
40,1
41,1
42,3
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,1
101,1
102,1
103,1
104,3
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,2
115,2
116,1
117,1
118,1
119,1
120,1
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,1
143,2
144,2
145,2
146,2
147,1
148,2
149,2
150,3
151,2
152,2
153,2
154,2
155,2
156,1
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,1
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,1
201,4
202,3
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,1
214,2
215,2
216,2
217,3
218,2
219,1
220,2
221,2
222,2
223,1
224,2
225,1
226,3
227,3
228,2
229,2
230,3
231,4
232,2
233,2
234,2
235,2
236,1
237,3
238,3
239,2
240,1
241,2
242,2
243,2
244,3
245,3
246,3
247,1
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,1
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1
268,2
269,3
270,2
271,2
272,3
273,3
274,2
275,2
276,1
277,2
278,3
279,2
280,2
281,3
282,2
283,2
284,2
285,2
286,2
287,1
288,4
289,1
290,3
291,2
292,2
293,2
294,3
295,2
296,2
297,2
298,2
299,3
300,2
301,3
302,2
303,2
304,2
305,2
306,4
307,3
308,1
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,1
324,2
325,2
326,2
327,2
328,2
329,2
330,1
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,3
365,2
366,3
367,4
368,2
369,2
370,3
371,2
372,3
373,2
374,2
375,2
376,2
377,2
378,3
379,2
380,2
381,3
382,3
383,3
384,2
385,2
386,2
387,3
388,3
389,2
390,4
391,5
392,3
393,3
394,3
395,3
396,2
397,2
398,3
399,3
400,2
401,3
402,3
403,4
404,1
405,2
406,3
407,3
408,2
409,2
410,3
411,3
412,3
413,1
414,3
415,2
416,4
417,3
418,3
419,3
420,1
421,2
422,2
423,2
424,3
425,3
426,3
427,2
428,3
429,3
430,3
431,3
432,2
433,3
434,3
435,3
436,3
437,3
438,1
439,3
440,2
441,3
442,1
443,3
444,4
445,3
446,2
447,3
448,3
449,2
450,3
451,3
452,1
453,2
454,2
455,2
456,3
457,3
458,4
459,4
460,3
461,2
462,2
463,3
464,1
465,3
466,3
467,3
468,2
469,2
470,3
471,3
472,3
473,3
474,3
475,3
476,2
477,2
478,2
479,3
480,3
481,3
482,3
483,2
484,5
485,5
486,4
487,4
488,4
489,4
490,5
491,4
492,4
493,4
494,5
495,2
496,4
497,4
498,2
499,3
500,4
501,1
502,3
503,5
504,4
505,5
506,3
507,3
508,4
509,4
510,4
511,3
512,4
513,4
514,3
515,3
516,3
517,4
518,4
519,3
520,3
521,3
522,4
523,3
524,3
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,4
533,4
534,4
535,3
536,4
537,4
538,4
539,3
540,4
541,4
542,3
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,3
551,4
552,4
553,3
554,4
555,4
556,4
557,4
558,4
559,5
560,4
561,4
562,4
563,4
564,4
565,2
566,5
567,5
568,5
569,5
570,5
571,5
572,2
573,2
574,2
575,4
576,5
577,5
578,4
579,5
580,3
581,5
582,3
583,5
584,5
585,2
586,5
587,5
588,5
589,1
590,5
591,5
592,5
593,5
594,5
595,5
596,6
597,3
598,5
599,5
600,4
601,5
602,4
603,3
604,6
605,5
606,6
607,1
608,1
609,1
610,3
611,3
612,3
613,3
614,3
615,4
616,3
617,5
618,4
619,4
620,5
621,6
622,6
623,4
624,4
625,5
626,4
627,3
628,5
629,6
630,6
631,4
632,5
633,4
634,5
635,5
636,5
637,6
638,6
639,5
640,5
641,5
642,6
643,6
644,6
645,6
646,4
647,6
648,6
649,6
650,6
651,6
652,5
653,6
654,6
655,6
656,5
657,5
658,6
659,6
660,4
661,4
662,4
663,6
664,6
665,6
666,5
667,5
668,6
669,4
670,6
671,6
