                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5688,                 3.1479,                 1.5515,                0.46087,                 0.5712,                0.50672,                0.27623,                 1.4348,                 1.8134,                 1.5597,             0.00027737,             0.00027737,             0.00027737
                      2,                 1.4603,                 1.9683,                 1.5417,                0.48611,                0.59002,                0.56088,                0.31029,                 1.3982,                 1.6269,                 1.4629,             0.00050009,             0.00050009,             0.00050009
                      3,                 1.4168,                 1.6242,                 1.5075,                0.50442,                0.66264,                0.59716,                0.35175,                 1.3602,                 1.3473,                 1.4598,             0.00066783,             0.00066783,             0.00066783
                      4,                 1.3828,                 1.4239,                 1.4833,                0.52576,                0.72418,                0.60974,                0.36501,                 1.3116,                 1.2844,                 1.4518,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.3388,                 1.2884,                 1.4554,                0.57598,                0.69469,                0.66196,                0.40884,                 1.2604,                 1.1772,                  1.421,             0.00050313,             0.00050313,             0.00050313
                      6,                 1.2934,                 1.1972,                 1.4219,                0.57674,                 0.7341,                0.67371,                 0.4195,                 1.2451,                 1.1222,                 1.4079,             0.00042066,             0.00042066,             0.00042066
                      7,                 1.2693,                 1.1404,                 1.4032,                0.60295,                0.72423,                0.69446,                0.43995,                  1.198,                 1.0579,                 1.3733,              0.0003382,              0.0003382,              0.0003382
                      8,                 1.2385,                 1.0993,                 1.3859,                0.62334,                0.73611,                0.71368,                0.46433,                 1.1516,                 1.0128,                 1.3289,             0.00025573,             0.00025573,             0.00025573
                      9,                 1.1997,                 1.0459,                 1.3555,                0.62502,                0.73465,                0.70974,                0.46706,                  1.153,                 1.0027,                 1.3335,             0.00017326,             0.00017326,             0.00017326
                     10,                 1.1776,                 1.0138,                 1.3357,                0.62555,                0.77311,                 0.7258,                  0.485,                 1.1162,                0.97164,                 1.3074,             9.0797e-05,             9.0797e-05,             9.0797e-05
