id,images_name
1,95
2,1009
3,BUSI_0077
4,BUSI_0080
5,BUSI_0201
6,BUSI_0258
7,BUSI_0381
8,BUSI_0382
9,hcjz_birads2_0005_0005
10,hcjz_birads2_0008_0001
11,hcjz_birads2_0010_0017
12,hcjz_birads2_0013_0004
13,hcjz_birads2_0014_0003
14,hcjz_birads2_0015_0003
15,hcjz_birads2_0016_0001
16,hcjz_birads2_0024_0010
17,hcjz_birads2_0026_0005
18,hcjz_birads2_0026_0006
19,hcjz_birads2_0037_0007
20,hcjz_birads2_0038_0001
21,hcjz_birads2_0049_0010
22,hcjz_birads2_0050_0005
23,hcjz_birads2_0051_0008
24,hcjz_birads2_0052_0001
25,hcjz_birads2_0055_0002
26,hcjz_birads2_0056_0001
27,hcjz_birads2_0056_0002
28,hcjz_birads2_0063_0003
29,hcjz_birads2_0071_0001
30,hcjz_birads2_0071_0009
31,hcjz_birads2_0080_0004
32,hcjz_birads2_0081_0004
33,hcjz_birads2_0081_0008
34,hcjz_birads2_0090_0002
35,hcjz_birads2_0096_0002
36,hcjz_birads2_0100_0002
37,hcjz_birads2_0105_0001
38,hcjz_birads2_0111_0006
39,hcjz_birads2_0118_0001
40,hcjz_birads2_0120_0012
41,hcjz_birads2_0121_0004
42,hcjz_birads2_0123_0005
43,hcjz_birads2_0124_0001
44,hcjz_birads2_0124_0008
45,hcjz_birads2_0126_0004
46,hcjz_birads2_0129_0003
47,hcjz_birads2_0129_0004
48,hcjz_birads2_0129_0005
49,hcjz_birads2_0139_0004
50,hcjz_birads2_0148_0019
51,hcjz_birads2_0150_0006
52,hcjz_birads2_0159_0011
53,hcjz_birads2_0160_0001
54,hcjz_birads2_0163_0001
55,hcjz_birads2_0165_0001
56,hcjz_birads2_0165_0032
57,hcjz_birads2_0174_0001
58,hcjz_birads2_0176_0001
59,hcjz_birads2_0186_0004
60,hcjz_birads2_0189_0004
61,hcjz_birads2_0199_0003
62,hcjz_birads2_0201_0001
63,hcjz_birads2_0205_0001
64,hcjz_birads2_0205_0004
65,hcjz_birads2_0210_0007
66,hcjz_birads2_0216_0001
67,hcjz_birads2_0222_0001
68,hcjz_birads2_0224_0004
69,hcjz_birads2_0230_0001
70,hcjz_birads2_0250_0002
71,hcjz_birads2_0256_0001
72,hcjz_birads2_0257_0005
73,hcjz_birads2_0259_0001
74,hcjz_birads2_0265_0001
75,hcjz_birads2_0266_0001
76,hcjz_birads2_0276_0004
77,hcjz_birads2_0299_0004
78,hcjz_birads2_0303_0001
79,hcjz_birads2_0309_0001
80,hcjz_birads2_0320_0003
81,hcjz_birads2_0322_0001
82,hcjz_birads2_0322_0002
83,hcjz_birads2_0329_0003
84,hcjz_birads2_0330_0001
85,hcjz_birads2_0334_0010
86,hcjz_birads2_0341_0005
87,hcjz_birads2_0345_0002
88,hcjz_birads2_0350_0004
89,hcjz_birads2_0358_0008
90,hcjz_birads2_0361_0003
91,hcjz_birads3_0020_0005
92,hcjz_birads3_0026_0009
93,hcjz_birads3_0079_0004
94,hcjz_birads3_0089_0010
95,hcjz_birads3_0092_0012
96,hcjz_birads3_0100_0006
97,hcjz_birads3_01021_0004
98,hcjz_birads3_01022_0003
99,hcjz_birads3_01050_0136
100,hcjz_birads3_01072_0003
101,hcjz_birads3_01072_0005
102,hcjz_birads3_01075_0006
103,hcjz_birads3_01084_0001
104,hcjz_birads3_01101_0011
105,hcjz_birads3_01166_0002
106,hcjz_birads3_01186_0004
107,hcjz_birads3_01205_0001
108,hcjz_birads3_01205_0004
109,hcjz_birads4B_0063_0003
110,hcjz_birads4C_0006_0006
111,hcjz_birads5_0041_0007
112,sec_0018
113,sec_0022
114,sec_0025
115,sec_0031
116,sec_0032
117,sec_0033
118,sec_0054
119,sec_0066
120,sec_0067
121,sec_0071
122,sec_0073
123,sec_0076
124,sec_0078
125,sec_0086
126,97
127,102
128,104
129,114
130,121
131,125
132,137
133,143
134,152
135,155
136,160
137,166
138,176
139,187
140,188
141,196
142,198
143,202
144,216
145,220
146,226
147,230
148,232
149,234
150,244
151,251
152,252
153,262
154,271
155,274
156,279
157,295
158,307
159,309
160,312
161,314
162,322
163,330
164,332
165,338
166,339
167,350
168,354
169,366
170,380
171,395
172,399
173,405
174,406
175,411
176,428
177,438
178,439
179,442
180,450
181,463
182,464
183,472
184,484
185,486
186,497
187,502
188,504
189,505
190,1002
191,1032
192,1047
193,1050
194,1053
195,1055
196,1064
197,1076
198,1083
199,1084
200,1087
201,1094
202,1113
203,1156
204,1187
205,1202
206,1252
207,1330
208,1332
209,1333
210,BUSI_0001
211,BUSI_0008
212,BUSI_0013
213,BUSI_0055
214,BUSI_0059
215,BUSI_0071
216,BUSI_0205
217,BUSI_0238
218,BUSI_0239
219,BUSI_0283
220,BUSI_0307
221,BUSI_0321
222,BUSI_0385
223,BUSI_0388
224,BUSI_0418
225,BUSI_0427
226,hcjz_birads3_0005_0001
227,hcjz_birads3_0005_0004
228,hcjz_birads3_0010_0001
229,hcjz_birads3_0015_0003
230,hcjz_birads3_0024_0001
231,hcjz_birads3_0024_0002
232,hcjz_birads3_0028_0006
233,hcjz_birads3_0032_0001
234,hcjz_birads3_0033_0002
235,hcjz_birads3_0035_0005
236,hcjz_birads3_0036_0013
237,hcjz_birads3_0036_0018
238,hcjz_birads3_0043_0001
239,hcjz_birads3_0045_0001
240,hcjz_birads3_0049_0001
241,hcjz_birads3_0054_0002
242,hcjz_birads3_0055_0006
243,hcjz_birads3_0062_0002
244,hcjz_birads3_0063_0010
245,hcjz_birads3_0065_0001
246,hcjz_birads3_0067_0004
247,hcjz_birads3_0070_0004
248,hcjz_birads3_0074_0001
249,hcjz_birads3_0077_0012
250,hcjz_birads3_0080_0004
251,hcjz_birads3_0081_0002
252,hcjz_birads3_0082_0004
253,hcjz_birads3_0085_0015
254,hcjz_birads3_0086_0004
255,hcjz_birads3_0092_0023
256,hcjz_birads3_0093_0002
257,hcjz_birads3_0099_0004
258,hcjz_birads3_01004_0003
259,hcjz_birads3_01004_0006
260,hcjz_birads3_01004_0008
261,hcjz_birads3_01005_0005
262,hcjz_birads3_01010_0001
263,hcjz_birads3_01014_0001
264,hcjz_birads3_01018_0003
265,hcjz_birads3_01019_0003
266,hcjz_birads3_0101_0002
267,hcjz_birads3_01020_0001
268,hcjz_birads3_01024_0001
269,hcjz_birads3_01029_0003
270,hcjz_birads3_01031_0002
271,hcjz_birads3_01041_0004
272,hcjz_birads3_01046_0010
273,hcjz_birads3_01047_0005
274,hcjz_birads3_01064_0014
275,hcjz_birads3_01069_0008
276,hcjz_birads3_01072_0001
277,hcjz_birads3_0109_0006
278,hcjz_birads3_01101_0006
279,hcjz_birads3_01115_0003
280,hcjz_birads3_01115_0010
281,hcjz_birads3_01129_0001
282,hcjz_birads3_01133_0005
283,hcjz_birads3_0113_0004
284,hcjz_birads3_01149_0002
285,hcjz_birads3_01157_0009
286,hcjz_birads3_01161_0006
287,hcjz_birads3_01169_0020
288,hcjz_birads3_01176_0037
289,hcjz_birads3_0118_0001
290,hcjz_birads3_01193_0002
291,hcjz_birads3_01197_0008
292,hcjz_birads3_0119_0003
293,hcjz_birads3_0119_0005
294,hcjz_birads3_01202_0001
295,hcjz_birads3_01204_0001
296,hcjz_birads4B_0006_0004
297,hcjz_birads4B_0006_0009
